W, ms
28800, 23323.462891
38800, 22951.464844
48800, 22996.398438
58800, 22831.994141
68800, 23775.103516
78800, 22605.828125
88800, 23079.933594
98800, 22994.830078
108800, 22912.255859
118800, 22988.587891
128800, 22956.359375
138800, 23174.367188
148800, 22765.767578
158800, 22817.126953
168800, 22957.503906
178800, 23123.210938
188800, 23264.802734
198800, 23180.435547
208800, 23526.138672
218800, 23791.076172
228800, 23279.951172
238800, 22996.576172
248800, 22708.914062
258800, 22748.001953
268800, 23183.853516
278800, 23134.132812
288800, 23868.750000
298800, 23953.597656
308800, 23904.580078
318800, 23588.509766
328800, 23408.298828
338800, 23216.669922
348800, 23169.402344
358800, 23821.712891
368800, 24255.556641
378800, 22843.755859
388800, 23300.275391
398800, 23125.015625
408800, 23085.812500
418800, 23984.251953
428800, 24796.433594
438800, 23830.886719
448800, 25304.847656
458800, 23185.980469
468800, 23426.494141
478800, 23996.984375
488800, 24424.062500
498800, 23341.099609
508800, 23076.978516
518800, 23419.513672
